first_air_date,genre_ids,id,name,origin_country,original_language,original_name,overview,popularity,vote_average,vote_count
2021-04-10,"[16, 35, 10765]",99073,I've Been Killing Slimes for 300 Years and Maxed Out My Level,['JP'],ja,スライム倒して300年、知らないうちにレベルMAXになってました,"An at-home comedy about a powerful girl who doesn’t work too hard!

After dying of overwork in the real world, I’m reincarnated as an immortal witch, and I spend 300 years enjoying a relaxing life. At some point, though, I end up at level 99! All those years spent killing slimes to make the money to pay the bills gave me a ton of experience points… Rumors of the level 99 witch spread, and soon I’m up to my ears in curious adventurers, duelist dragons, and even a monster girl calling me her mom! “This isn’t a dojo, so don’t come here to fight me…!” I’ve never been on an adventure, but I’m the strongest in the world… What’s going to happen to my relaxing life?!",20.8,0.0,0
2021-04-09,"[16, 18, 10765]",118610,Blue Reflection Ray,['JP'],ja,BLUE REFLECTION RAY/澪,,1.706,0.0,0
2021-04-08,"[16, 35]",116224,Fairy Ranmaru: Anata no Kokoro Otasuke Shimasu,['JP'],ja,Fairy蘭丸～あなたの心お助けします～,,2.696,0.0,0
2021-04-08,"[16, 18, 35]",112601,Bakuten!!,['JP'],ja,バクテン!!,"The story follows Shōtarō Futaba, a boy who's fascinated with men's rhythmic gymnastics and enrolled at the Soshukan High School to join the school's team. The story follows a team of unique seniors and Yoshiya Misato, a classmate who's famous in high school rhythmic gymnastics tournaments, who run together toward one goal.",21.525,0.0,0
2021-04-08,"[16, 35]",112160,The Way of the Househusband,['JP'],ja,極主夫道,"Tatsu, a notorious and feared yakuza leader nicknamed ""The Immortal Dragon,"" withdraws from the criminal syndicate and becomes a housekeeper to help his wife, Miku. The series features a variety of comedic settings, typically showing Tatsu's domestic activities and intimidating inequality with his looks, as well as multiple encounters with his former colleagues and rivals in the Japanese Criminal Syndicate.",11.467,0.0,0
2021-04-07,"[16, 35, 10759, 10765]",114198,Full Dive: This Ultimate Next-Gen Full Dive RPG is Even Shittier than Real Life!,['JP'],ja,慎重勇者」の土日月が贈る 新作ライトノベル 「#究極進化したフルダイブRPGが現実よりもクソゲーだったら,"In an unexpected turn of events, dull high school student Hiro Yuuki obtains the full dive role-playing game Kiwame Quest. Created by the best of technology, the game claims to take ""reality to its extremes,"" from stunning graphics, NPCs' behavior, to the scent of vegetation, and even the sensation of wind brushing against the skin—everything was the result of an ultimate workmanship. Except, the game is a little too realistic and messy to clear. Kiwame Quest features over ten quadrillion flags and reflects the players' real-life physical abilities in the game. Being hit in the game also hurts in real life and slash wounds take days to heal. The only reward here is the sense of accomplishment. Conquer the most stressful game in history that can't be played casually!",11.613,0.0,0
2021-04-07,"[16, 18]",95631,Super Cub,['JP'],ja,スーパーカブ,"Koguma is a high school girl in Yamanashi. She has no parents, friends, or hobbies, and her daily life is empty. One day, Koguma gets a used Honda Super Cub motorcycle. This is her first time going to school on a motorcycle. Running out of gas and hitting detours become a small source of adventure in Koguma's life. She is satisfied with this strange transformation, but her classmate Reiko ends up talking to her about how she also goes to school by motorcycle. One Super Cub begins to open up a lonely girl's world, introducing her to a new everyday life and friendship.",10.564,0.0,0
2021-04-06,"[16, 35, 10759, 10765]",118541,The Slime Diaries: That Time I Got Reincarnated as a Slime,['JP'],ja,転スラ日記 転生したらスライムだった件,"""Dear diary… I got reincarnated as a slime.""

Even in another world, lives aren't always on the line. There's plenty of work to be done, from feeding the community and forging the items the community needs; as well as plenty of play ...and hijinks throughout! Join Rimuru and friends as they kick back and enjoy their daily lives.",8.906,0.0,0
2021-04-06,"[16, 10759]",117945,Joran The Princess of Snow and Blood,['JP'],ja,擾乱　THE PRINCESS OF SNOW AND BLOOD,"The year is 1931. Prince Tokugawa Yoshinobu is 94 years old and holds absolute control over Japan. Remnants of the Meiji era’s culture can be seen around the city, but scientific technology and Japanese esoteric cosmology Onmyodo are also developing, exuding a sense of modernity. Yet lurking behind the glitz is Kuchinawa, a dissident group planning the assassination of the prince, and effectively the fall of the regime. Tasked to extinguish these dissidents is Nue, the government’s secret executioner group. Sawa Yukimura, who works for this organization, suffered from an early age at the hands of the Kuchinawa boss. Her entire family was murdered and she dedicated her life to avenging their death.",3.681,0.0,0
2021-04-06,"[16, 10759]",116727,Odd Taxi,['JP'],ja,オッドタクシー,"""So, where to?""

This town should look familiar, but suddenly, it's not.

The taxi driver Odokawa lives a very mundane life. He has no family, doesn't really hang out with others, and he's an oddball who is narrow-minded and doesn't talk much. The only people he can call his friends are his doctor, Gouriki and his classmate from high school, Kakibana.

All of his patrons seem to be slightly odd themselves. The college student who wants the world to notice him online, Kabasawa. A nurse with secrets named Shirakawa. A comedy duo that just can't catch a break named the Homosapiens. A local hoodlum named Dobu. An idol group that's just starting out named Mystery Kiss... All these mundane conversations somehow eventually lead to a girl who's gone missing.",7.636,0.0,0
