,first_air_date,genre_ids,id,name,origin_country,original_language,original_name,overview,popularity,vote_average,vote_count,year,cleaned_name
935,2018-04-08,"[16, 10759, 10765]",78204,Sword Art Online Alternative: Gun Gale Online,['JP'],ja,ソードアート・オンライン オルタナティブ ガンゲイル・オンライン,"A shy university student in Tokyo, Karen Kohiruimaki stands in stark contrast to her in-game avatar—in fact, she happens to stand above everyone else too, much to her dismay. Towering above all the people around her, Karen's insecurities over her height reach the point where she turns to the virtual world for an escape. Starting game after game in hopes of manifesting as a cute, short character, she finally obtains her ideal self in the world of Gun Gale Online. Overjoyed by her new persona, she pours her time into the game as LLENN, garnering her reputation as the legendary player killer. However, when one of LLENN's targets gets the best of her, she ends up meeting Pitohui, a skilled yet eccentric woman. Pitohui insists that LLENN participates in Squad Jam, a battle royale. Thrust into the heated competition, LLENN must fight with all her wit and will if she hopes to shoot her way to the top.",33.623,7.9,135,2018.0,ソードアートオンラインオルタナティブガンゲイルオンライン
936,2018-04-08,[16],77729,Cutie Honey Universe,['JP'],ja,Cutie Honey Universe,"Honey Kisaragi is an amazingly humanlike and fashion conscious android with the unique ability to transform her body into a wide range of outrageous yet stylish disguises, each of which comes with its own dazzling super ability. After a run-in with a sinister secret criminal cabal organization, Panther Claw, the luscious and law-abiding Honey makes it her mission to bring them down.",6.986,6.0,2,2018.0,cutiehoneyuniverse
937,2018-04-08,"[16, 10759, 10765]",77722,Caligula,['JP'],ja,カリギュラ,"Mobius is a perfect digital world for the imagined benefit of humanity by μ, a virtual idol program that attained sentience and self-awareness. Only humans who are suffering in the real world and strongly relate to μ's songs are lured into Mobius.  Once they enter, people often forget that the real world exists. Regardless of age or gender, they are turned into students and forced to experience school life over and over, which μ considers ""the most radiant time in a person's life.""",6.904,8.3,4,2018.0,カリギュラ
938,2018-04-08,"[16, 10759, 35, 18]",77701,Persona 5: The Animation,['JP'],ja,PERSONA5 the Animation,"Ren Amamiya is about to enter his second year after transferring to Shujin Academy in Tokyo. Following a particular incident, his Persona awakens, and together with his friends, they form the “Phantom Thieves of Hearts” to reform hearts of corrupt adults by stealing the source of their distorted desires. Meanwhile, bizarre and inexplicable crimes have been popping up one after another… Living an ordinary high school life in Tokyo during the day, the group maneuvers the metropolitan city as Phantom Thieves after hours. Let the curtain rise for this grand, picaresque story!",8.011,6.2,12,2018.0,persona5theanimation
939,2018-04-07,"[16, 18]",78476,Major 2nd,['JP'],ja,メジャーセカンド,"Shigeno Daigo is an elementary student whose father, Goro, is a professional baseball player. Inspired by his father, who was once a Major League player, Daigo started playing baseball with the Mifune Dolphins, a youth team. However, he was unable to live up to the expectations of being the son of a professional, and quit baseball after less than a year. Then, in the spring of his sixth-grade year, Daigo's school welcomes a transfer student, Sato Hikaru, whose father is Sato Toshiya, a former Major League player and Goro's close friend. The fate of these two young men begins to move forward!",9.512,8.0,4,2018.0,メジャーセカンド
940,2018-04-07,"[16, 10759]",78462,Devils' Line,['JP'],ja,デビルズライン,"Tsukasa, a college student, is rescued from an attack by a devil, one of many vampires that can blend in among the human population. Anzai, her savior, is a half-devil who exploits his supernatural gifts as a member of a shadowy police task force that specializes in devil-related crime in Tokyo. As Anzai continues to keep guard over Tsukasa, the two quickly forge a tentative bond—one that Anzai fears will test his iron-clad rule of never drinking human blood...",10.674,6.5,10,2018.0,デビルズライン
941,2018-04-07,"[16, 18]",77702,Magical Girl Site,['JP'],ja,魔法少女サイト,"Aya Asagiri is a middle school girl who has problems both at school with bullying and at home from physical abuse by her brother. While browsing online, a website pops up on her computer featuring a creepy looking person. This person appears to take pity on her, and announces that she has granted Asagiri magical powers.",14.36,8.6,119,2018.0,魔法少女サイト
942,2018-04-06,"[10759, 35, 16]",91039,Wacky TV Na Na Na,['JP'],ja,テレビ野郎 ナナーナ,An adult comedy series about a film crew of banana men who work for a television station. In order to boost ratings they have to follow the absurd requests of the boss.,0.94,0.0,0,2018.0,テレビ野郎ナナーナ
944,2018-04-06,[16],78470,Gurazeni: Money Pitch,['JP'],ja,グラゼニ,"This is the story of Natsunosuke Honda, a pro baseball player—a relief pitcher who has been playing pro in a team called Spiders for 8 years. The team operates as a highly-stratified society, where the player's performance determines his annual salary. Natsunosuke is one of the highest paid players in the game. He measures how good players are by how much money they make, and he intends to be on top and stay there, and as such is always looking for players to challenge and does everything to insure that he is better than they are.",2.863,10.0,1,2018.0,グラゼニ
945,2018-04-06,"[16, 10759, 18]",77939,MEGALOBOX,['JP'],ja,メガロボクス,"A desolate land stretches out from the city of poverty. A motorcycle speeds recklessly, blowing clouds of sand and dust. The rider is the protagonist of this story – he has neither a name nor a past. All he has is his ring name, “Junk Dog” and a technique for rigging MEGALOBOX matches with his pal Gansaku Nanbu, which they use to support their hand-to-mouth lives. JD is bored, resigned, and unfulfilled. Yuri has been the reigning champion of MEGALOBOX for the past few years. He has the skills and presence of a true champion. This is a story of JD and his rival, Yuri.",23.356,8.1,115,2018.0,メガロボクス
946,2018-04-06,"[16, 35]",77723,My Sweet Tyrant,['JP'],ja,あっくんとカノジョ,"The romantic comedy follows the everyday life of an extremely tsundere boy named Atsuhiro ""Akkun"" Kagari and his girlfriend Non ""Nontan"" Katagiri. Akkun's behavior is harsh towards Nontan with verbal abuse and neglect, but he actually is head-over-heels for her and habitually acts like a stalker by tailing her or eavesdropping. Nontan is oblivious to Akkun's stalker ways, and thinks his actions are cute.",9.024,7.6,5,2018.0,あっくんとカノジョ
948,2018-04-06,"[16, 35, 10765]",76758,Hinamatsuri,['JP'],ja,ヒナまつり,"One night, a strange object falls on the head of Nitta, a member of the yakuza. Inside the box is a strange young girl named Hina. She has tremendous supernatural powers, and Nitta finds himself reluctantly taking her in. Her powers can come in handy for his yakuza business, but he also runs the risk of her using them on him! Not to mention, if she doesn't use her powers, she will eventually go berserk and destroy everything around her. Nitta and Hina's strange life together is just beginning...",16.34,8.3,47,2018.0,ヒナまつり
949,2018-04-05,"[16, 35]",79024,Aikatsu Friends!,['JP'],ja,アイカツフレンズ!,"Aine Yūki is good at making friends, and is enrolled in Star Harmony Academy's general education track. She befriends Mio Minato, the school's top idol, and becomes an idol herself.",7.908,7.0,1,2018.0,アイカツフレンズ
950,2018-04-05,"[16, 10759, 18, 10765]",78469,Dances with the Dragons,['JP'],ja,されど罪人は竜と踊る,"Gayus and the beautiful but cruel sword-wielder Gigina are ""special equationists,"" individuals that manipulate the equations that govern world's laws thus allowing fantastic and deadly results. These two bounty hunters are caught up in a battle with dragons in the city of Eridana and in the intrigue of great nations.",2.8,6.5,2,2018.0,されど罪人は竜と踊る
951,2018-04-05,"[16, 35]",77698,Comic Girls,['JP'],ja,こみっくがーるず,"Kaoruko Moeta is a 15-year-old high school student and 4-panel manga artist. After moving to a dorm especially for female manga artists, she meets shoujo manga artist Koyume, teen romance manga artist Ruki, and shounen manga artist Tsubasa. Every day, they'll work all through the night trying to ink and finish their work!",8.144,6.7,13,2018.0,こみっくがーるず
952,2018-04-05,"[16, 35, 18]",75975,Tada Never Falls in Love,['JP'],ja,多田くんは恋をしない,"Love has never really been a concern for Mitsuyoshi Tada, and as the aspiring photographer enters his second year of high school. However, things just might change after he meets a foreigner named Teresa Wagner. Nevertheless, after she asks him to photograph her, the two soon separate... only to meet each other again twice more that day! Finding Teresa just as she is caught in a sudden downpour, Tada invites her to his family's coffee shop to dry off. There, she explains that she was separated from her traveling companion, Alec. When Teresa reunites with Alec shortly after, they say their goodbyes - but the two unexpectedly show up as transfer students in his class the next day.

Teresa and Alec quickly get used to their lives at the High School and decide to join Tada in the photography club. With these two  additions to his equally eccentric group of friends, Tada's second year of high school is about to get even livelier, and he might need to start rethinking his approach to love.",8.701,7.6,58,2018.0,多田くんは恋をしない
953,2018-04-04,[16],78456,Alice or Alice,['JP'],ja,ありすorありす,"This story gives a look at the daily life of a pair or Alice twins and their older brother who has a sister complex. Them eating meals, getting into fights, playing with friends... Would you like to peek at the heart-full daily life of the cute Alices?",2.937,7.0,2,2018.0,ありすorありす
954,2018-04-04,"[16, 35]",77724,Love To-LIE-Angle,['JP'],ja,立花館To Lieあんぐる,"When Natsuno Hanabi went back to her hometown to study in high school, she thought that she will have a new wonderful life. But Tachibanakan, the dormitory she was going to live in, was not what she expected.",5.513,6.0,5,2018.0,立花館tolieあんぐる
955,2018-04-04,"[16, 35, 18]",77721,Real Girl,['JP'],ja,３Ｄ彼女　リアルガール,"Tsutsui Hikari (a.k.a ""Tsuttsun"") is a high school student who is content with his virtual life of anime and video games. One day, he gets stuck cleaning the pool with Iroha, a real live girl who is stylish, sassy and known to be easy with boys ... and she aggressively approaches him! Tsuttsun, who has few friends and lives in his own world, finds himself smitten by the confident and wild Iroha ... and his whole world is turned upside down!! It's the awkward and pure love story of a boy who experiences relationship for the first time.",38.215,8.9,304,2018.0,彼女リアルガール
957,2018-04-03,"[16, 10765, 35]",78461,Space Battleship Tiramisu,['JP'],ja,宇宙戦艦ティラミス,"The Earth Union is locked in a massive galactic war. Aboard the Space Battleship Tiramisu, ace pilot Subaru Ichinose carries the fate of humanity on his shoulders. Life for Subaru is tough. But nothing relieves tension quite like launching an all-out food-based assault on his own face. Snug as a bug in a rug, Subaru soothingly unwinds in his personal mecha, “Durandal F,” as bliss overtakes him.",8.156,8.0,2,2018.0,宇宙戦艦ティラミス
958,2018-04-03,"[16, 35, 18]",77240,Captain Tsubasa,['JP'],ja,キャプテン翼,"The passionate story of an elementary school student whose thoughts and dreams revolve almost entirely around the love of soccer. 11-year-old Tsubasa Oozora started playing football at a very young age, and while it was mostly just a recreational sport for his friends, for him, it developed into something of an obsession.  In order to pursue his dream to the best of his elementary school abilities, Tsubasa moves with his mother to Nankatsu city, which is well-known for its excellent elementary school soccer teams. But although he was easily the best in his old town, Nankatsu has a lot more competition, and he will need all of his skill and talent in order to stand out from this new crowd.

He encounters not only rivals, but also new friends like the pretty girl Sanae Nakazawa and the talented goalkeeper, Genzo Wakabayashi, who shares the same passion as Tsubasa, and will prove to be a treasured friend in helping him push towards his dreams. Representing Japan in the FIFA World Cup is Tsubasa’s ultimate dream, but it will take a lot more than talent to reach it.",79.531,7.9,279,2018.0,キャプテン翼
959,2018-04-03,[16],76821,Gundam Build Divers,['JP'],ja,ガンダムビルドダイバーズ,"The Gunpla Force Battle Tournament is a big event held in GBN once per year. Competing in the final round are Avalon, led by the champion Kyoya Kujo, and the elite 7th Panzer Division led by the cunning Rommel. Starting with Kyoya's Gundam AGE II Magnum, a variety of Gunpla take to the field to determine which is the strongest force!",8.904,8.5,4,2018.0,ガンダムビルドダイバーズ
961,2018-04-02,"[16, 10765, 35, 18]",78483,Kakuriyo -Bed & Breakfast for Spirits-,['JP'],ja,かくりよの宿飯,"After losing her grandfather, Aoi—a girl who can see spirits known as ayakashi—is suddenly approached by an ogre. Demanding she pay her grandfather’s debt, he makes a huge request: her hand in marriage! Refusing this absurd offer, Aoi decides to work at the Tenjin-ya bed and breakfast for the ayakashi to pay back what her family owes.",15.66,8.5,8,2018.0,かくりよの宿飯
962,2018-04-02,"[16, 35]",77694,Umamusume: Pretty Derby,['JP'],ja,ウマ娘 プリティーダービー,"In a world very much like our own, great race horses of the past have a chance to be reborn as ""horse girls""—girls with the ears and tails of horses as well as their speed and endurance. The best of these horse girls go to train at Tokyo's Tracen Academy, hopefully moving on to fame and fortune as both racers and idols.

Special Week, a high school horse girl from the countryside, has just transferred to Tracen, and she's determined to fulfill her promise to her mother to become the best horse girl in Japan. On her way to school, she takes a pit stop at the race track and instantly falls in love with Silence Suzuka's style, becoming determined to race on the same team as her.",11.284,8.6,40,2018.0,ウマ娘プリティーダービー
963,2018-04-01,"[35, 10765, 16]",76759,Gegege no Kitarou,['JP'],ja,ゲゲゲの鬼太郎,"In the Japanese modern era, almost every people has forgotten about Youkai.",14.268,7.9,8,2018.0,ゲゲゲの鬼太郎
964,2018-03-31,"[10759, 16, 10765, 10768]",74018,The Legend of the Galactic Heroes: Die Neue These,['JP'],ja,銀河英雄伝説 Die Neue These 邂逅,"In humanity's distant future, two interstellar states—the monarchic Galactic Empire and the democratic Free Planets Alliance—are embroiled in a never-ending war. The story focuses on the exploits of rivals Reinhard von Müsel and Yang Wen Li as they rise to power and fame in the Galactic Empire and the Free Planets Alliance.",13.666,7.3,12,2018.0,銀河英雄伝説dieneuethese邂逅
967,2018-03-30,[16],78414,Sonic Mania Adventures,['JP'],en,Sonic Mania Adventures,Classic Sonic is back to his dimension after the events of Sonic Forces. He discovers Eggman is collecting the Chaos Emeralds and already has four of them. Sonic must gather all the Chaos Emeralds before Eggman.,2.639,9.3,6,2018.0,sonicmaniaadventures
968,2018-03-29,"[16, 35]",94039,非人哉,['JP'],zh,非人哉,,0.694,8.0,2,2018.0,非人哉
969,2018-03-29,"[18, 16, 10759, 10765]",78434,Last Hope,['JP'],ja,重神機パンドーラ,"After causing the near extinction of mankind seven years ago, genius scientist Leon Lau must now fight the ecological disaster he unwittingly created.",6.737,5.4,10,2018.0,重神機パンドーラ
970,2018-03-25,"[35, 16]",76142,Magical Girl Ore,['JP'],ja,魔法少女 俺,"""Love makes a girl stronger."" Saki Uno is working hard as part of the new idol unit, Magical Twin. The one she admires most is Mohiro Mikage, who’s the older brother of her idol unit partner Sakuyo, and he’s also a member of the top idol unit STAR☆PRINCE. She would be willing to do anything for him, and one day, those feelings brought on a miracle. Saki ended up turning into a magical girl when she strongly wished to protect someone... But what she turned into wasn’t exactly what she was expecting...",7.058,7.7,58,2018.0,魔法少女俺
974,2018-03-23,"[16, 10765, 10759]",78239,SWORD GAI: The Animation,['JP'],ja,ソードガイ,"A young man becomes host to a legendary infernal sword and, with the fate of humanity now in his arm, wields its demonic power against his enemies.",10.202,6.8,12,2018.0,ソードガイ
979,2018-03-09,"[16, 10759, 10765]",77778,A.I.C.O. -Incarnation-,['JP'],ja,A.I.C.O. Incarnation,"In Japan in the year 2035, an accident known as the ""Burst"" occurs during a research project, spawning an out-of-control artificial life form called ""Matter"" that has spread throughout the Kurobe Gorge. The research city that was once hailed as the hope for humanity is cordoned off by the government. Two years later, 15-year-old Aiko Tachibana, who lost her family in the Burst, learns something unbelievable from Yuya Kanzaki, a new student at her school. A secret is hidden within her body, and the answer to the puzzle lies at the ""Primary Point"" that was the center of the Burst. Aiko resolves to infiltrate the restricted area, escorted by a team of divers and with Yuya as her guide. When boy meets girl with the fate of humanity in their hands, what new truth will come to light?",14.896,6.4,27,2018.0,aicoincarnation
982,2018-03-02,"[16, 10765]",77529,B: The Beginning,['JP'],ja,B: The Beginning,"In a world powered by advanced technology, crime and action unfold in the archipelagic nation of Cremona. Genius investigator Keith Flick rejoins the royal police force just as serial killer ""B"" emerges. Mysterious youth Koku may be an ally, or a target.",58.504,7.9,84,2018.0,bthebeginning
986,2018-02-18,[16],113938,ReLIFE: Kanketsu-hen,['JP'],ja,ReLIFE: Kanketsu-hen,"After reliving the life of a high school student through the ReLIFE experiment, 27-year-old Arata Kaizaki cannot believe how quickly it has changed him. He has begun to see the world through a different perspective that he had completely forgotten as an adult. He has made friends and formed deep relationships with each one of them. However his support, Ryou Yoake, reminds him that the experiment is all an illusion; after his experiment ends, he will be forgotten by all of them.

The experiment of another ReLIFE subject is also coming to an end. After spending two years with ReLIFE, Chizuru Hishiro has developed into a more open, more thoughtful person than she could have ever imagined. She has met people who have changed her life, her perspective, and ultimately her. However, now that their ReLIFE is coming to an end, will they be able to let go of the memories they have made?",2.098,6.5,2,2018.0,relifekanketsuhen
987,2018-02-17,[16],117534,IDOLiSH7 Vibrato,['JP'],ja,アイドリッシュセブン Vibrato,"Introducing IDOLiSH7 Vibrato! Based on the popular music game, this YouTube original series features new stories depicting the lives of the namesake idol group IDOLiSH7 and their journey to becoming superstars in Japan.",1.96,0.0,0,2018.0,アイドリッシュセブンvibrato
991,2018-01-27,"[16, 10765]",76138,The Seven Heavenly Virtues,['JP'],ja,七つの美徳,"Heaven has been thrown into chaos, and in the ashes, seven angels known as the Seven Heavenly Virtues, are sent to Earth to search for a candidate who can become the ""true messiah"".",13.909,6.8,4,2018.0,七つの美徳
992,2018-01-27,"[16, 10759]",76123,Fate/Extra Last Encore,['JP'],ja,フェイト/エクストラ Last Encore,"Hakuno Kishinami finds himself in the midst of a Holy Grail war with no memories of how he got there. Through his confusion, he must fight to survive.",11.537,7.3,40,2018.0,フェイトエクストラlastencore
995,2018-01-23,[16],95034,Akuma no Memumemu-chan,['JP'],ja,悪魔のメムメムちゃん,,1.255,5.0,1,2018.0,悪魔のメムメムちゃん
1003,2018-01-13,"[16, 10759, 80]",76130,Killing Bites,['JP'],ja,キリングバイツ,,11.814,7.9,78,2018.0,キリングバイツ
1004,2018-01-13,"[10759, 16, 10765]",76121,DARLING in the FRANXX,['JP'],ja,ダーリン・イン・ザ・フランキス,"The story is set in the distant future. The land is ruined, and humanity establishes the mobile fort city Plantation. Pilots produced inside Plantation live in Mistilteinn, also know as the ""birdcage."" Children live there knowing nothing of the outside world or the freedom of the sky. Their lives consist of battling to carry out missions. Their enemies are mysterious giant lifeforms known as Kyouryuu, and the children pilot robots called Franxx to face off against them. For the children, riding the Franxx proves their existence.

A boy named Hiro is called Code:016, and he was once known as a prodigy. However, he has fallen behind, and his existence seems unnecessary. Not piloting a Franxx is the same as ceasing to exist. One day, a mysterious girl known as ""Zero Two"" appears before him. Two horns grow out of her head.",106.631,8.8,1087,2018.0,ダーリンインザフランキス
1005,2018-01-13,[16],76076,Takunomi,['JP'],ja,たくのみ。,20-year-old Michiru Amatsuki moved to Tokyo due to a change of career. She decided to live in a woman-only share house Stella House Haruno with people of different age and occupations. It's always fun when there's delicious alcohol and meal!!,7.458,6.7,3,2018.0,たくのみ
1006,2018-01-13,"[16, 18, 10765, 10759]",76062,Beatless,['JP'],ja,ビートレス,"Most of the world's needs are fulfilled by humanoid robots called hIE's. One day, 17-year-old Arato Endo meets the android Lacia and becomes her owner. She is one of five androids with advanced AI. Each of the five units have their own motivations, and fight to gain each other's abilities. What will the relationship between man and machine be moving forward? That is something Arato must find.",11.853,6.4,12,2018.0,ビートレス
1007,2018-01-12,"[16, 10765, 35]",76132,How to Keep a Mummy,['JP'],ja,ミイラの飼い方,"Kashiwagi Sora is living a normal high school student life, when his ""adventurer"" father sends him a mummy from his travels in Egypt! Sora balks at the letter from his crazy dad (""I found a cool mummy, so I decided to leave it with you, son!"") at first, but the mummy that emerges from inside the huge coffin is a mere 12 centimeters tall--small enough to fit in the palm of his hand... Not only that, it's shy, a crybaby, and most of all, heckin' cute. And so, Sora and ends up keeping the mummy, naming his new little buddy ""Mii-kun."" But living with a mummy might be easier said than done...!",45.386,8.5,122,2018.0,ミイラの飼い方
1008,2018-01-12,"[16, 10765, 35]",76127,Hakumei and Mikochi,['JP'],ja,ハクメイとミコチ,"In a world inhabited by people only a few inches tall, young women Hakumei and Mikochi live together in a house built into a tree. Hakumei is an energetic and tomboyish carpenter, while Mikochi is a feminine and calm tailor. Despite their differences, they get along well and spend their days having fun living their lives in the woods.

The two of them spend their time working, going on sightseeing adventures, and taking shopping trips into Tsumiki Marketplace by the ocean. They make many friends along the way, be they sentient woodland creatures like Iwashi the Weasel or fellow miniature people such as the songstress Konju and the inventor Sen.

This is a relaxing look into the day-to-day lives of its titular characters as they explore and interact with their tiny world which seems to be straight out of a fairy tale.",11.26,7.6,8,2018.0,ハクメイとミコチ
1009,2018-01-12,"[16, 80, 18]",76126,Hakata Tonkotsu Ramens,['JP'],ja,博多豚骨ラーメンズ,"Although the city of Fukuoka might look relatively peaceful at first glance, in actuality it houses a thriving mixture of dangerous individuals such as killers, detectives, and professional revenge seekers right beneath its surface. Among their number is Zenji Banba, a laidback and observant detective who is investigating the work of other hitmen companies in the area. However, Banba might not be the only one with a bone to pick with these organizations, as Xianming Ling, a crossdressing male hitman in the employ of one such company begins getting fed up with his lack of jobs and pay.

One day, after Ling's current target commits suicide before the hitman could reach him, his company refuses to pay him even half the amount they were originally supposed to for the assassination. Frustrated, Ling requests another mission and is offered the job of taking out Banba, whom his organization believes has been interfering with their business. However, when Banba arrives at his home and finds the hitman inside, Ling surprisingly doesn't even attempt to kill him. Instead, he offers the detective another option: to join him and form a team. With the offer on the table, exactly how will Banba respond, and just what plans does Ling have in store for the underground world of Fukuoka?",9.111,7.6,14,2018.0,博多豚骨ラーメンズ
1010,2018-01-12,"[16, 10759]",75863,HAKYU HOSHIN ENGI,['JP'],ja,覇穹 封神演義,"When his clan is wiped out by a beautiful demon, young Taikobo finds himself in charge of the mysterious Houshin Project. Its mission: find all immortals living in the human world and seal them away forever. But who do you trust—and whose side are you really on—when you've been trained to hunt demons by a demon?",6.077,6.8,4,2018.0,覇穹封神演義
1011,2018-01-12,"[16, 35, 18]",75777,After the Rain,['JP'],ja,恋は雨上がりのように,"Akira Tachibana is a soft-spoken high school student who used to be a part of the track and field club but, due to an injury, she is no longer able to run as fast as she once could. Working part-time at a family restaurant as a recourse, she finds herself inexplicably falling love with her manager, a divorced 45-year-old man with a young son.

Despite the age gap, Akira wholeheartedly embraces his mannerisms and kind nature, which is seen as spinelessness by the other employees, and little by little, the two begin to understand each other. Although unable to explain why exactly she is attracted to him, Akira believes that a concrete reason is not needed to truly love someone. On a rainy day, she decides to finally tell her manager about how she feels...but just how will he react?",7.806,7.7,28,2018.0,恋は雨上がりのように
1014,2018-01-11,"[16, 35, 10759, 10765]",76122,Death March to the Parallel World Rhapsody,['JP'],ja,デスマーチからはじまる異世界狂想曲,"29-year-old programmer Suzuki Ichirou finds himself transported into a fantasy RPG. Within the game, he's a 15-year-old named Satou. At first he thinks he's dreaming, but his experiences seem very real. Due to a powerful ability he possesses with limited use, he ends up wiping out an army of lizard men and becomes a high leveled adventurer. Satou decides to hide his level, and plans to live peacefully and meet new people. However, developments in the game's story, such as the return of a demon king, may cause a nuisance to Satou's plans.",19.801,8.2,146,2018.0,デスマーチからはじまる異世界狂想曲
1015,2018-01-11,"[16, 10765]",75776,Märchen Mädchen,['JP'],ja,メルヘン・メドヘン,"When the two girls meet, magic begins. Hazuki Kagimura loves stories, an orthodox girl who is overly imaginative. Because her relationship with her new family does not go well, the environment sends her toward the stories in which she spends her days. One day after school, Hazuki gets lost among the bookcases of the library, leading her to a mysterious school where meets Shizuka Tsuchimikado. It is a magic school where girls (called ""mädchen"") are selected by the magical texts from which the world's stories are born. Hazuki herself is said to be chosen by the book of Cinderella. In order to become a true magician, Hazuki becomes friends with Shizuka and begins her new life at the school.",4.243,5.0,5,2018.0,メルヘンメドヘン
1016,2018-01-11,"[16, 10765, 18]",75214,Violet Evergarden,['JP'],ja,ヴァイオレット・エヴァーガーデン,"The Great War finally came to an end after four long years of conflict; fractured in two, the continent of Telesis slowly began to flourish once again. Caught up in the bloodshed was Violet Evergarden, a young girl raised for the sole purpose of decimating enemy lines. Hospitalized and maimed in a bloody skirmish during the War's final leg, she was left with only words from the person she held dearest, but with no understanding of their meaning.

Recovering from her wounds, Violet starts a new life working at CH Postal Services after a falling out with her new intended guardian family. There, she witnesses by pure chance the work of an ""Auto Memoir Doll,"" amanuenses that transcribe people's thoughts and feelings into words on paper. Moved by the notion, Violet begins work as an Auto Memoir Doll, a trade that will take her on an adventure, one that will reshape the lives of her clients and hopefully lead to self-discovery.",44.926,8.7,332,2018.0,ヴァイオレットエヴァーガーデン
1017,2018-01-10,"[10765, 18, 16]",76120,Dame×Prince Anime Caravan,['JP'],ja,ダメプリ ANIME CARAVAN,"The story follows Ani, a princess from the minor nation of Inako. Ani is sent to the signing ceremony that will bring peace to the rival nations of Mildonia, a mighty military country, and Selenfaren, a powerful theocracy. Ani is supposed to help steer the signing ceremony along, but she runs into trouble when she encounters a handful of obstinate princes.",4.483,8.0,3,2018.0,ダメプリanimecaravan
1019,2018-01-09,"[16, 35]",76927,gdgd men's Party,['JP'],ja,gdメン,"Light and Yomi are spending their daily lives happily playing video games. One night when everyone else is asleep, Light receives an invitation from Alpha, a messenger for someone named King. Light and Yomi are then sucked into another world, where they must undertake a quest to rescue Princess Melody from the demon lord. Light thinks this must be his destiny, while Yomi thinks it's kind of annoying. They form a party with Alpha to start their quest. Alpha as it turns out is an AI robot, and he has a program that allows them to raise their levels while slowly continuing their adventure.",0.864,0.0,0,2018.0,gdメン
1020,2018-01-09,"[16, 35]",76923,Mameneko,['JP'],ja,まめね,"The daily life of a household that has two cats: Azuki and Daizu. Azuki and Daizu belong to an office worker in her 30s who loves cats. The owner lives with her father, mother, grandfather, and older brother, the latter of whom the cats call ""Megane"" (Glasses). Megane adopted a Shiba Inu dog named Mamenosuke after Mamenosuke's owner died. Mamenosuke grew up around cats so he actually thinks of himself as a cat.",1.724,0.0,0,2018.0,まめね
1021,2018-01-09,"[16, 10759, 18, 10765]",76061,Basilisk: The Ouka Ninja Scrolls,['JP'],ja,バジリスク ～桜花忍法帖～,"The battle for succession that continued for three generations of shogun in the Keichou era culminated in a gruesome battle of ninja arts between the Kouga and Iga clans. Amidst a rain of flower petals, a man and woman who had decided to live for love were separated once again. As ninjas begin to disappear into the shadows after being deemed unnecessary, The Kouga and Iga clans ask a favor of Hachirou and Hibiki in hopes of reinforcing their foundations.",10.058,6.6,15,2018.0,バジリスク桜花忍法帖
1023,2018-01-09,"[16, 35]",76141,The Ryuo's Work is Never Done!,['JP'],ja,りゅうおうのおしごと！,"The story is about a teenage boy who happens to be a shougi master. One day, a nine-year-old girl turns up at his house, requesting to be taken as his disciple. From there, all kinds of wacky hijinks ensue.",8.62,6.6,22,2018.0,りゅうおうのおしごと
1024,2018-01-07,"[16, 18, 9648, 10765]",76131,"Kokkoku, Moment by Moment",['JP'],ja,刻刻,"In order to save her brother and nephew who have been kidnapped by a mysterious religious group known as the Genuine Love Society, Juri and her family cast a spell using a stone hidden by her grandfather to enter the world of stopped time known as Stasis. However, when they infiltrate the kidnapper's base, they're met by other people who can also move about freely. With grotesque creatures lurking about, will they be able to escape the parallel world and return to their normal lives?!",6.915,6.4,16,2018.0,刻刻
1025,2018-01-08,"[16, 35]",75865,Teasing Master Takagi-san,['JP'],ja,からかい上手の高木さん,"""If you blush, you lose.""

Living by this principle, the middle schooler Nishikata gets constantly made fun of by his seat neighbor Takagi-san. With his pride shattered to pieces, he vows to turn the tables and get back at her someday. And so, he attempts to tease her day after day, only to find himself victim to Takagi-san's ridicule again sooner than later. Will he be able to make Takagi-san blush from embarrassment even once in the end?",36.232,8.3,215,2018.0,からかい上手の高木さん
1026,2018-01-07,"[16, 10759, 35, 10762]",106052,Cardcaptor Sakura: Clear Card,['JP'],ja,カードキャプターさくら クリアカード編,"Cardcaptor Sakura: Clear Card starts at the point where Cardcaptor Sakura ends, when Sakura Kinomoto starts junior high school alongside her friends, including her new boyfriend Syaoran, who had just returned to Tomoeda. After having a prophetic dream about a mysterious cloaked figure, all of the Sakura Cards turn blank and are rendered completely powerless, thus starting her quest to find out what is wrong. In doing so, Sakura and her friends, along with her guardians and protectors kerobearos and Yue, discover and capture the transparent cards using a new and much stronger mystical key and incantation.",8.182,8.7,3,2018.0,カードキャプターさくらクリアカード編
1027,2018-01-07,"[35, 16, 10759]",76139,Pop Team Epic,['JP'],ja,ポプテピピック,"Crude, rude, and a little…cute? Get ready for the larger-than-life attitude of Popuko and Pipimi, the small and tall stars of Pop Team Epic! Based off the bizarre four-panel webcomic by Bukubu Okawa comes a comedy that’ll throw you off with its out-there jokes and intense absurdity. You think you’re ready for these girls? Think again, F#%**er!",12.41,6.9,19,2018.0,ポプテピピック
