,first_air_date,genre_ids,id,name,origin_country,original_language,original_name,overview,popularity,vote_average,vote_count,year,cleaned_name
2863,2010-07-05,"[10759, 16, 18]",56998,Highschool of the Dead,['JP'],ja,学園黙示録 HIGHSCHOOL OF THE DEAD,"When the world is struck by a deadly pandemic that turns humans into zombies, Takashi Komuro and several of his classmates at Fujimi High School try to survive the apocalypse.",26.18,8.4,432,2010.0,学園黙示録highschoolofthedead
2864,2010-07-05,"[16, 10765]",37471,Nura: Rise of the Yokai Clan,['JP'],ja,ぬらりひょんの孫,"Nura: Rise of the Yokai Clan, known in Japan as Nurarihyon no Mago, is a manga series written and illustrated by Hiroshi Shiibashi. The series was first published in Shueisha as a oneshot in 2007. The manga has been continuously serialized in the Japanese manga anthology Weekly Shōnen Jump since March 2008 and has been collected into 25 tankōbon volumes as of December 2012. A Drama CD was released in December 2009. An anime adaptation by Studio DEEN began airing in Japan on July 5, 2010, with the first season consisting of 26 episodes.

Viz Media acquired the licensing rights for a North American release of the manga and anime adaptations. The anime episodes have been streamed on Viz Media's anime streaming site, Viz Anime, since July 2010, while the first manga volume was released February 2011.",15.524,6.9,14,2010.0,ぬらりひょんの孫
2865,2010-07-05,"[16, 35]",36729,Tono to Issho,['JP'],ja,殿といっしょ,,1.344,0.0,0,2010.0,殿といっしょ
2866,2010-07-04,"[16, 35]",36697,Seitokai Yakuindomo,['JP'],ja,生徒会役員共,"Ousai Academy is a former all-girls private high school which has recently been integrated for both genders. Takatoshi Tsuda is pushed into becoming the vice-president of the student council, where he is the lone male member surrounded by three beautiful girls.",15.063,6.3,10,2010.0,生徒会役員共
2868,2010-07-02,[16],52083,Amagami SS,['JP'],ja,アマガミ,"A second-year high school boy finds himself uneasy during Christmas time due to an experience in the past. However, this year at Christmas, he gets his last chance to ask out a graduating female senior named Haruka Morishima — or one of several other classmates. The story of the anime will be arranged in an omnibus format, with each heroine getting her own version of the story animated. Each heroine will sing her own version of the ending theme song.",19.416,7.3,13,2010.0,アマガミ
2871,2010-07-01,"[16, 35]",68637,Okami-san and Her Seven Companions,['JP'],ja,オオカミさんと七人の仲間たち,"Ryōko Ōkami is a spunky high school girl who is a member of a ""fixer"" club called the Otogi High School Bank. She fixes the school's problems with her partner Ringo Akai (""Akazukin-chan"").",5.325,4.6,8,2010.0,オオカミさんと七人の仲間たち
2873,2010-06-26,"[16, 10765, 10759]",36089,The Legend of the Legendary Heroes,['JP'],ja,伝説の勇者の伝説,"""Alpha Stigma"" are known to be eyes that can analyze all types of magic. However, they are more infamously known as cursed eyes that can only bring destruction and death to others.

Ryner Lute, a talented mage and also an Alpha Stigma bearer, was once a student of the Roland Empire's Magician Academy, an elite school dedicated to training magicians for military purposes. However, after many of his classmates died in a war, he makes an oath to make the nation a more orderly and peaceful place, with fellow survivor and best friend, Sion Astal.

Now that Sion is the the king of Roland, he orders Ryner to search for useful relics that will aid the nation. Together with Ferris Eris, a beautiful and highly skilled swordswoman, Ryner goes on a journey to search for relics of legendary heroes from the past, and also uncover the secrets behind his cursed eyes.",2.111,8.6,23,2010.0,伝説の勇者の伝説
2874,2010-06-25,"[16, 18, 9648]",96737,Literature Girl: Memoire,['JP'],ja,“文学少女”,* Based on the light novel series by Nomura Mizuki.,1.96,6.0,2,2010.0,文学少女
2875,2010-06-25,"[18, 16, 35]",45226,The Tyrant Falls in Love,['JP'],ja,恋する暴君,"A first year doctorate student in the agricultural science department at a university in Nagoya. Extremely hot-headed and violent, he has a reputation of being a tyrant to other students at the University and is not very social in result. After almost being raped by a gay professor and other bad experiences with homosexual men, he becomes extremely homophobic. Despite this, he unconsciously becomes deeply emotionally attached to his research assistant and friend, Morinaga, whom he is aware is homosexual but allows by his side on the agreement that his sexual orientation not be an issue. He tries to rationalize his dependency on Morinaga by convincing himself that having sex with him from time to time is essential to keep him in his life, although refusing to admit why he needs him in his life in the first place.",5.405,8.7,3,2010.0,恋する暴君
2886,2010-04-23,"[16, 35, 18]",36243,The Tatami Galaxy,['JP'],ja,四畳半神話大系,"An unnamed third-year Kyoto University student reminisces about his early campus life. He meets Ozu whose encouragement sets him on a mission of dubious morality. He contemplates his affection for a younger female student, Akashi, and makes promises to her, usually of and within a romantic subtext. The culmination of his dubious missions often conflict with his interest in her in some way.",7.501,8.8,33,2010.0,四畳半神話大系
